pair,hedge_ratio,correlation,spread_pvalue,return_pvalue_1,return_pvalue_2,is_tradeable,total_return,max_drawdown,calmar_ratio,num_trades,win_rate
AAPL-AMZN,0.08,0.3006309502146275,0.3653771898263313,8.535910526191636e-19,0.0,False,,,,,
AAPL-ASML,0.3,0.4352110630667945,0.264332212465715,8.535910526191636e-19,2.2445072948558574e-28,False,,,,,
AAPL-AVGO,0.27,0.30614896250632273,0.08515626151571143,8.535910526191636e-19,4.092665740163531e-19,False,,,,,
AAPL-AZN,3.28,0.21676483559697066,0.14605062977766298,8.535910526191636e-19,2.686359118775394e-27,False,,,,,
AAPL-COST,0.36,0.3719919951879861,0.3091368510069494,8.535910526191636e-19,9.758940071890298e-27,False,,,,,
AAPL-CSCO,3.89,0.4009289678380896,0.016017666361309923,8.535910526191636e-19,5.374330581372382e-19,True,,,,,
AAPL-GOOG,0.1,0.3289240150334754,0.32348393888409843,8.535910526191636e-19,0.0,False,,,,,
AAPL-GOOGL,0.1,0.32852549341786597,0.31956266411658074,8.535910526191636e-19,0.0,False,,,,,
AAPL-ISRG,0.31,0.28521440710679064,0.04542469616224139,8.535910526191636e-19,0.0,False,,,,,
AAPL-META,0.61,0.4022805786990579,0.2744182964600166,8.535910526191636e-19,0.0,False,,,,,
AAPL-MSFT,0.66,0.5480333933809954,0.2724705953736424,8.535910526191636e-19,7.397892486217592e-28,False,,,,,
AAPL-NFLX,0.41,0.33606951687823244,0.1637306068017068,8.535910526191636e-19,0.0,False,,,,,
AAPL-NVDA,0.43,0.3246311810212088,0.02293983196139289,8.535910526191636e-19,0.0,True,,,,,
AAPL-PEP,1.24,0.3205591293920458,0.04292324698483993,8.535910526191636e-19,3.639447454196111e-25,True,,,,,
AAPL-TMUS,1.43,0.293485651557148,0.18756692381219942,8.535910526191636e-19,1.1157885415497371e-26,False,,,,,
AAPL-TSLA,0.31,0.5351574104118009,0.48045546584578985,8.535910526191636e-19,0.0,False,,,,,
AMZN-ASML,2.3,0.3619590191735978,0.8618098266384608,0.0,2.2445072948558574e-28,False,,,,,
AMZN-AVGO,1.89,0.2601906201306925,0.6031213831685119,0.0,4.092665740163531e-19,False,,,,,
AMZN-AZN,24.7,0.17877486989314384,0.8232844707315936,0.0,2.686359118775394e-27,False,,,,,
AMZN-COST,2.47,0.32732372137971694,0.9365144120152089,0.0,9.758940071890298e-27,False,,,,,
AMZN-CSCO,31.89,0.2973874163658332,0.8098751860889484,0.0,5.374330581372382e-19,False,,,,,
AMZN-GOOG,1.32,0.2912298056898744,0.00172549611314424,0.0,0.0,True,,,,,
AMZN-GOOGL,1.32,0.29037193588611876,0.0018270295705254264,0.0,0.0,True,,,,,
AMZN-ISRG,2.87,0.24154021065441256,0.35466581151810533,0.0,0.0,False,,,,,
AMZN-META,4.61,0.4127249711024495,0.9555005029997026,0.0,0.0,False,,,,,
AMZN-MSFT,4.82,0.49027633910053453,0.9155862495563383,0.0,7.397892486217592e-28,False,,,,,
AMZN-NFLX,3.36,0.39812082014198413,0.9406649268316296,0.0,0.0,False,,,,,
AMZN-NVDA,3.82,0.2992066722979213,0.2319947714568647,0.0,0.0,False,,,,,
AMZN-PEP,9.62,0.17287536538897383,0.776463025489269,0.0,3.639447454196111e-25,False,,,,,
AMZN-TMUS,10.52,0.24044716859668655,0.916818813825464,0.0,1.1157885415497371e-26,False,,,,,
AMZN-TSLA,3.15,0.22579928930535134,0.0023250550637775214,0.0,0.0,True,,,,,
ASML-AVGO,0.88,0.5142282972157273,0.17438709305100614,2.2445072948558574e-28,4.092665740163531e-19,False,,,,,
ASML-AZN,9.27,0.27588566438772055,0.31559479423843473,2.2445072948558574e-28,2.686359118775394e-27,False,,,,,
ASML-COST,1.13,0.41109301623937256,0.5571950352088753,2.2445072948558574e-28,9.758940071890298e-27,False,,,,,
ASML-CSCO,10.16,0.44303613229628414,0.6623259279345453,2.2445072948558574e-28,5.374330581372382e-19,False,,,,,
ASML-GOOG,0.26,0.3646632798206036,0.8230646159239241,2.2445072948558574e-28,0.0,False,,,,,
ASML-GOOGL,0.26,0.3678368543811569,0.8242105236472428,2.2445072948558574e-28,0.0,False,,,,,
ASML-ISRG,0.71,0.36617399492716607,0.5072301383628602,2.2445072948558574e-28,0.0,False,,,,,
ASML-META,1.8,0.4980206643118313,0.8343366080476057,2.2445072948558574e-28,0.0,False,,,,,
ASML-MSFT,2.1,0.6258999985217154,0.05295415163642333,2.2445072948558574e-28,7.397892486217592e-28,False,,,,,
ASML-NFLX,1.16,0.4419044724250224,0.592579617554696,2.2445072948558574e-28,0.0,False,,,,,
